event_id,fatality_count,injury_count,country_name
684,11,,China
956,0,,United States
973,10,,Peru
1067,1,,Nepal
2603,0,,Philippines
4203,0,,Philippines
4290,0,,United States
225,3,,Mexico
236,,,United States
873,2,,China
874,4,,China
8253,0,0,United States
954,0,,United States
9958,0,0,
955,0,1,Philippines
957,0,,United States
958,0,,United States
959,0,,United States
961,0,,United States
962,0,,United States
963,0,,United States
964,0,,United States
965,0,,United States
966,0,,United States
968,6,,Algeria
969,0,,United States
971,0,,Malaysia
972,4,,Indonesia
1085,7,,Sierra Leone
974,2,,Brunei
975,2,,Mexico
976,2,,Italy
1055,0,,India
978,0,,United States
1054,0,,India
980,2,,Philippines
983,2,,Philippines
1010,0,,United States
1118,0,,Australia
1048,3,,Nepal
1049,2,,Nepal
1053,6,,Japan
9810,0,0,
1058,2,,Japan
1060,6,,China
1061,0,,India
1062,13,,Nepal
1065,5,,Nepal
1181,,,United States
1187,,,United States
1188,,,United States
1312,0,,United States
1319,0,,Indonesia
9962,0,0,
1353,0,,United States
1354,0,,United States
1382,22,28,Brazil
8208,0,0,United States
1617,0,,Brazil
2164,0,,India
2216,0,,Pakistan
2601,0,,Philippines
3821,1,,India
2607,0,,Philippines
2608,0,,Philippines
2988,0,,Brazil
37,2,,India
3463,0,,United States
3669,0,,India
3712,2,,Nepal
5154,0,,Philippines
3709,0,,Nepal
3710,0,,Nepal
9763,2,,
3750,0,,India
3751,0,,India
3752,0,,India
9744,0,0,
9769,0,0,
3785,0,,Brazil
4197,0,,Philippines
3786,1,,Brazil
3819,1,,India
3833,0,,Mexico
3834,0,,Mexico
9944,0,0,
3835,0,,Mexico
4205,0,,Philippines
1306,0,,Canada
3836,0,,Mexico
3865,0,,United States
3866,0,,United States
3978,7,,Nepal
9965,0,0,
4195,0,,Philippines
4196,0,,Philippines
9853,0,0,
4346,,,United States
4565,,,India
4569,20,,India
4571,,,India
4589,,,Ghana
9945,1,0,
4680,,,Trinidad and Tobago
9946,1,0,
4880,0,,Panama
4881,0,,Panama
4929,0,,India
4930,0,,India
4931,0,,India
9755,0,0,
4964,0,,Canada
9966,0,0,
4982,0,,India
4983,0,,India
5102,0,,Nepal
5122,0,,India
5103,0,,Nepal
5123,0,,India
5153,0,,Philippines
9943,33,0,
5597,1,1,Austria
7056,0,0,Mexico
9988,0,0,
9985,4,2,
9987,0,0,
9984,0,0,
10000,1,,
9940,1,0,
9967,0,0,
9964,0,0,
9941,0,0,
9969,0,1,
9950,4,10,
9974,0,0,
9687,2,1,
9956,2,0,
9963,0,0,
9955,2,,
9972,1,0,
9959,0,0,
9951,0,0,
9952,0,0,
9942,105,0,
9961,0,0,
9975,11,0,
9954,0,0,
9699,2,,
9968,2,0,
9953,4,5,
9980,3,0,
9992,0,0,
9998,0,0,
9983,0,0,
9996,0,0,
9990,0,0,
9999,1,1,
9993,0,0,
9979,0,0,
9700,2,,
9976,0,0,
9991,,,
9989,0,0,
9978,0,0,
9986,0,0,
9981,,,
9977,0,0,
9997,0,0,
9982,0,0,
9994,0,0,
9863,1,0,
9851,0,0,
9714,0,0,
9871,0,0,
9811,6,1,
9765,0,0,
9759,0,0,
9731,0,0,
9800,0,0,
9825,,,
9779,0,0,
9823,0,0,
9746,0,0,
9693,0,0,
9735,0,0,
9829,1,,
9865,0,0,
9784,0,0,
9768,0,0,
9740,0,0,
9757,0,0,
9872,0,0,
9776,6,1,
9816,0,0,
9878,0,0,
9807,0,0,
9849,1,0,
9866,0,0,
9882,0,0,
9877,0,0,
9783,0,0,
9839,2,1,
9713,8,,
9694,0,0,
9761,0,0,
9774,0,0,
9771,0,0,
9814,0,0,
9835,0,0,
9846,0,0,
9758,0,0,
9750,,,
9702,6,0,
9850,1,22,
9876,0,0,
9802,0,0,
9859,0,0,
9869,1,0,
9809,13,,
9795,4,15,
9830,,,
9805,0,0,
9689,0,0,
9727,0,0,
9792,6,,
9874,0,0,
9841,0,0,
9690,0,0,
9728,0,0,
9804,0,0,
9711,0,0,
9793,0,0,
9760,5,0,
9710,0,0,
9777,0,0,
9733,3,1,
9801,0,5,
9706,1,1,
9842,0,0,
9778,0,0,
9864,0,0,
9881,0,0,
9719,3,7,
9709,0,0,
9767,0,0,
9831,0,0,
9741,1,2,
9826,0,0,
9721,2,,
